===== TRAINING PROCESS =====

Epoch: 1 & Batch: 160/12880 --> Total Loss: 77.317 | Cls Loss: 0.692 | Box Loss: 14.547 | Lm Loss: 67.258 | Decay: 5.18
Epoch: 1 & Batch: 164/12880 --> Total Loss: 69.998 | Cls Loss: 0.716 | Box Loss: 14.663 | Lm Loss: 59.801 | Decay: 5.181
Epoch: 1 & Batch: 168/12880 --> Total Loss: 68.747 | Cls Loss: 0.688 | Box Loss: 13.828 | Lm Loss: 59.413 | Decay: 5.182
Epoch: 1 & Batch: 172/12880 --> Total Loss: 62.712 | Cls Loss: 0.676 | Box Loss: 15.712 | Lm Loss: 51.506 | Decay: 5.183
Epoch: 1 & Batch: 176/12880 --> Total Loss: 62.616 | Cls Loss: 0.691 | Box Loss: 2.443 | Lm Loss: 64.666 | Decay: 5.184
Epoch: 1 & Batch: 180/12880 --> Total Loss: 41.587 | Cls Loss: 0.701 | Box Loss: 8.467 | Lm Loss: 37.604 | Decay: 5.185
Epoch: 1 & Batch: 184/12880 --> Total Loss: 112.752 | Cls Loss: 0.693 | Box Loss: 20.874 | Lm Loss: 96.371 | Decay: 5.186
Epoch: 1 & Batch: 188/12880 --> Total Loss: 63.823 | Cls Loss: 0.695 | Box Loss: 9.81 | Lm Loss: 58.505 | Decay: 5.187
Epoch: 1 & Batch: 192/12880 --> Total Loss: 73.384 | Cls Loss: 0.686 | Box Loss: 8.935 | Lm Loss: 68.952 | Decay: 5.188
Epoch: 1 & Batch: 196/12880 --> Total Loss: 47.557 | Cls Loss: 0.727 | Box Loss: 6.531 | Lm Loss: 45.488 | Decay: 5.189
Epoch: 1 & Batch: 200/12880 --> Total Loss: 38.649 | Cls Loss: 0.704 | Box Loss: 7.224 | Lm Loss: 35.91 | Decay: 5.189
Epoch: 1 & Batch: 204/12880 --> Total Loss: 68.324 | Cls Loss: 0.689 | Box Loss: 13.173 | Lm Loss: 59.653 | Decay: 5.19
Epoch: 1 & Batch: 208/12880 --> Total Loss: 19.092 | Cls Loss: 0.696 | Box Loss: 5.459 | Lm Loss: 18.128 | Decay: 5.191
Epoch: 1 & Batch: 212/12880 --> Total Loss: 69.168 | Cls Loss: 0.707 | Box Loss: 14.97 | Lm Loss: 58.683 | Decay: 5.192
Epoch: 1 & Batch: 216/12880 --> Total Loss: 81.188 | Cls Loss: 0.686 | Box Loss: 15.483 | Lm Loss: 70.212 | Decay: 5.193
Epoch: 1 & Batch: 220/12880 --> Total Loss: 30.884 | Cls Loss: 0.685 | Box Loss: 6.619 | Lm Loss: 28.773 | Decay: 5.193
Epoch: 1 & Batch: 224/12880 --> Total Loss: 52.951 | Cls Loss: 0.702 | Box Loss: 9.675 | Lm Loss: 47.768 | Decay: 5.194
Epoch: 1 & Batch: 228/12880 --> Total Loss: 51.758 | Cls Loss: 0.7 | Box Loss: 7.061 | Lm Loss: 49.192 | Decay: 5.195
Epoch: 1 & Batch: 232/12880 --> Total Loss: 51.226 | Cls Loss: 0.704 | Box Loss: 10.92 | Lm Loss: 44.797 | Decay: 5.195
Epoch: 1 & Batch: 236/12880 --> Total Loss: 38.447 | Cls Loss: 0.7 | Box Loss: 2.482 | Lm Loss: 40.46 | Decay: 5.196
Epoch: 1 & Batch: 240/12880 --> Total Loss: 65.5 | Cls Loss: 0.707 | Box Loss: 12.481 | Lm Loss: 57.508 | Decay: 5.197
Epoch: 1 & Batch: 244/12880 --> Total Loss: 24.005 | Cls Loss: 0.684 | Box Loss: 5.538 | Lm Loss: 22.98 | Decay: 5.197
Epoch: 1 & Batch: 248/12880 --> Total Loss: 65.108 | Cls Loss: 0.684 | Box Loss: 14.631 | Lm Loss: 54.991 | Decay: 5.198
Epoch: 1 & Batch: 252/12880 --> Total Loss: 18.091 | Cls Loss: 0.687 | Box Loss: 5.511 | Lm Loss: 17.091 | Decay: 5.199
Epoch: 1 & Batch: 256/12880 --> Total Loss: 92.966 | Cls Loss: 0.699 | Box Loss: 18.584 | Lm Loss: 78.882 | Decay: 5.199
Epoch: 1 & Batch: 260/12880 --> Total Loss: 96.565 | Cls Loss: 0.696 | Box Loss: 17.721 | Lm Loss: 83.349 | Decay: 5.2
Epoch: 1 & Batch: 264/12880 --> Total Loss: 135.207 | Cls Loss: 0.694 | Box Loss: 25.463 | Lm Loss: 114.251 | Decay: 5.201
Epoch: 1 & Batch: 268/12880 --> Total Loss: 58.782 | Cls Loss: 0.691 | Box Loss: 12.36 | Lm Loss: 50.932 | Decay: 5.202
Epoch: 1 & Batch: 272/12880 --> Total Loss: 20.113 | Cls Loss: 0.697 | Box Loss: 4.96 | Lm Loss: 19.659 | Decay: 5.202
Epoch: 1 & Batch: 276/12880 --> Total Loss: 87.454 | Cls Loss: 0.675 | Box Loss: 16.848 | Lm Loss: 75.133 | Decay: 5.203
Epoch: 1 & Batch: 280/12880 --> Total Loss: 48.981 | Cls Loss: 0.679 | Box Loss: 10.771 | Lm Loss: 42.736 | Decay: 5.204
Epoch: 1 & Batch: 284/12880 --> Total Loss: 65.187 | Cls Loss: 0.694 | Box Loss: 7.343 | Lm Loss: 62.354 | Decay: 5.204
Epoch: 1 & Batch: 288/12880 --> Total Loss: 74.509 | Cls Loss: 0.697 | Box Loss: 13.983 | Lm Loss: 65.034 | Decay: 5.205
Epoch: 1 & Batch: 292/12880 --> Total Loss: 71.629 | Cls Loss: 0.696 | Box Loss: 12.69 | Lm Loss: 63.449 | Decay: 5.206
Epoch: 1 & Batch: 296/12880 --> Total Loss: 58.339 | Cls Loss: 0.7 | Box Loss: 13.706 | Lm Loss: 49.14 | Decay: 5.207
Epoch: 1 & Batch: 300/12880 --> Total Loss: 70.296 | Cls Loss: 0.699 | Box Loss: 15.949 | Lm Loss: 58.856 | Decay: 5.207
Epoch: 1 & Batch: 304/12880 --> Total Loss: 94.064 | Cls Loss: 0.705 | Box Loss: 19.093 | Lm Loss: 79.473 | Decay: 5.208
Epoch: 1 & Batch: 308/12880 --> Total Loss: 127.61 | Cls Loss: 0.684 | Box Loss: 24.246 | Lm Loss: 107.888 | Decay: 5.209
Epoch: 1 & Batch: 312/12880 --> Total Loss: 71.628 | Cls Loss: 0.698 | Box Loss: 13.95 | Lm Loss: 62.189 | Decay: 5.21
Epoch: 1 & Batch: 316/12880 --> Total Loss: 62.226 | Cls Loss: 0.683 | Box Loss: 12.911 | Lm Loss: 53.842 | Decay: 5.21
Epoch: 1 & Batch: 320/12880 --> Total Loss: 93.144 | Cls Loss: 0.682 | Box Loss: 17.454 | Lm Loss: 80.219 | Decay: 5.211
Epoch: 1 & Batch: 324/12880 --> Total Loss: 31.863 | Cls Loss: 0.697 | Box Loss: 8.078 | Lm Loss: 28.301 | Decay: 5.212
Epoch: 1 & Batch: 328/12880 --> Total Loss: 71.764 | Cls Loss: 0.694 | Box Loss: 15.474 | Lm Loss: 60.809 | Decay: 5.213
Epoch: 1 & Batch: 332/12880 --> Total Loss: 68.402 | Cls Loss: 0.698 | Box Loss: 13.829 | Lm Loss: 59.089 | Decay: 5.213
Epoch: 1 & Batch: 336/12880 --> Total Loss: 78.273 | Cls Loss: 0.691 | Box Loss: 14.971 | Lm Loss: 67.825 | Decay: 5.214
Epoch: 1 & Batch: 340/12880 --> Total Loss: 65.076 | Cls Loss: 0.701 | Box Loss: 12.405 | Lm Loss: 57.185 | Decay: 5.215
Epoch: 1 & Batch: 344/12880 --> Total Loss: 66.784 | Cls Loss: 0.702 | Box Loss: 12.855 | Lm Loss: 58.441 | Decay: 5.215
Epoch: 1 & Batch: 348/12880 --> Total Loss: 88.825 | Cls Loss: 0.695 | Box Loss: 17.172 | Lm Loss: 76.174 | Decay: 5.216
Epoch: 1 & Batch: 352/12880 --> Total Loss: 46.097 | Cls Loss: 0.689 | Box Loss: 8.144 | Lm Loss: 42.48 | Decay: 5.216
Epoch: 1 & Batch: 356/12880 --> Total Loss: 82.665 | Cls Loss: 0.692 | Box Loss: 16.498 | Lm Loss: 70.692 | Decay: 5.217
Epoch: 1 & Batch: 360/12880 --> Total Loss: 94.247 | Cls Loss: 0.695 | Box Loss: 18.337 | Lm Loss: 80.433 | Decay: 5.217
Epoch: 1 & Batch: 364/12880 --> Total Loss: 145.546 | Cls Loss: 0.691 | Box Loss: 15.874 | Lm Loss: 134.2 | Decay: 5.218
Epoch: 1 & Batch: 368/12880 --> Total Loss: 63.89 | Cls Loss: 0.69 | Box Loss: 12.286 | Lm Loss: 56.133 | Decay: 5.218
Epoch: 1 & Batch: 372/12880 --> Total Loss: 81.306 | Cls Loss: 0.689 | Box Loss: 10.936 | Lm Loss: 74.9 | Decay: 5.219
Epoch: 1 & Batch: 376/12880 --> Total Loss: 58.371 | Cls Loss: 0.7 | Box Loss: 11.082 | Lm Loss: 51.808 | Decay: 5.219
Epoch: 1 & Batch: 380/12880 --> Total Loss: 65.911 | Cls Loss: 0.698 | Box Loss: 12.055 | Lm Loss: 58.378 | Decay: 5.22
Epoch: 1 & Batch: 384/12880 --> Total Loss: 79.119 | Cls Loss: 0.694 | Box Loss: 15.571 | Lm Loss: 68.075 | Decay: 5.22
Epoch: 1 & Batch: 388/12880 --> Total Loss: 97.9 | Cls Loss: 0.695 | Box Loss: 18.679 | Lm Loss: 83.747 | Decay: 5.221
Epoch: 1 & Batch: 392/12880 --> Total Loss: 50.879 | Cls Loss: 0.702 | Box Loss: 18.335 | Lm Loss: 37.063 | Decay: 5.221
Epoch: 1 & Batch: 396/12880 --> Total Loss: 47.912 | Cls Loss: 0.697 | Box Loss: 10.14 | Lm Loss: 42.296 | Decay: 5.222
Epoch: 1 & Batch: 400/12880 --> Total Loss: 41.103 | Cls Loss: 0.698 | Box Loss: 16.124 | Lm Loss: 29.503 | Decay: 5.222
Epoch: 1 & Batch: 404/12880 --> Total Loss: 89.522 | Cls Loss: 0.697 | Box Loss: 17.761 | Lm Loss: 76.287 | Decay: 5.222
Epoch: 1 & Batch: 408/12880 --> Total Loss: 52.846 | Cls Loss: 0.689 | Box Loss: 10.815 | Lm Loss: 46.565 | Decay: 5.223
Epoch: 1 & Batch: 412/12880 --> Total Loss: 52.43 | Cls Loss: 0.695 | Box Loss: 12.352 | Lm Loss: 44.606 | Decay: 5.223
Epoch: 1 & Batch: 416/12880 --> Total Loss: 48.63 | Cls Loss: 0.685 | Box Loss: 9.849 | Lm Loss: 43.319 | Decay: 5.223
Epoch: 1 & Batch: 420/12880 --> Total Loss: 67.784 | Cls Loss: 0.699 | Box Loss: 12.707 | Lm Loss: 59.601 | Decay: 5.224
Epoch: 1 & Batch: 424/12880 --> Total Loss: 78.468 | Cls Loss: 0.693 | Box Loss: 14.927 | Lm Loss: 68.071 | Decay: 5.224
Epoch: 1 & Batch: 428/12880 --> Total Loss: 68.091 | Cls Loss: 0.694 | Box Loss: 12.966 | Lm Loss: 59.655 | Decay: 5.224
Epoch: 1 & Batch: 432/12880 --> Total Loss: 55.642 | Cls Loss: 0.702 | Box Loss: 10.749 | Lm Loss: 49.415 | Decay: 5.225
Epoch: 1 & Batch: 436/12880 --> Total Loss: 89.043 | Cls Loss: 0.69 | Box Loss: 14.638 | Lm Loss: 78.939 | Decay: 5.225
Epoch: 1 & Batch: 440/12880 --> Total Loss: 63.93 | Cls Loss: 0.683 | Box Loss: 12.781 | Lm Loss: 55.692 | Decay: 5.225
Epoch: 1 & Batch: 444/12880 --> Total Loss: 57.403 | Cls Loss: 0.706 | Box Loss: 11.671 | Lm Loss: 50.251 | Decay: 5.225
Epoch: 1 & Batch: 448/12880 --> 
